Apple iphone 7,,"42,999",4.5,https://www.flipkart.com/apple-iphone-7-black-32-gb/p/itmen6daftcqwzeg?pid=MOBEMK62PN2HU7EE
PlZzz take it from Apple store it was not sealed n earphone r replaced n stickers r missing n it is opened n used set ....not acceptable from Flipkart,,,,
"First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.
Now to the iPhone.
Packaging - As always - neat & superior!
The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)
What's evi...",,,,
Voice reception is very feeble. Product packaging does not seem to be original. Seems like meddled and repacked using small small cello tapes at corners and stickers.,,,,
Not even a month has passed since i started using it and its display has gone dead.. Could not expect that flipkart is offering such low quality phones..,,,,
My name is narsiredddy I booked apple iphone 7 32gb I received yesterday 2:30 pm from u r courier executive on Flipkart name box that is apple iphone u r executive said that I paid total 44999 amount and I broght to my home that box I open that box I was utterly shocked there is no mobile come inside the box only they sent iphone 7 box and earphones and charger but no phone inside so I wil go to complaint against on u today in our police station and I wil file petition in consumer court,,,,
"Brought a month ago and Used phone for while , facing battery problem .. Now it is in apple service centre from a week . Prefer buying iPhone from croma or maple.",,,,
Awesome phone.. m in love wid iphone.. really happy.. finally I got this after so long wait because the worst delivery service by flipkart.. worst experience ever,,,,
"When I got this phone, Battery is dead and as I know all phone which is brand new that is come with some of charge battery. So as I think they are providing used display phones.
Seller was ---SuperComNet",,,,
"Writing the review upgrading from an iPhone 6.
The increased speed and camera are great! 3D Touch feels a little incomplete but is convenient nonetheless. While the design is the same as the 6, the black really makes it stand out. Stunning finish on the matte black.
Will update the review upon further usage.",,,,
Dont worry go for it 100% original,,,,
Simply outstanding & no compare,,,,
"Buying the most awaited phone of the year and that too from flipkart was amazing.
Really thankful to flipkart for understanding the customer's egarness.
Flipkart Delivered the product on 7/10/16 at 7.10 pm when apple conducted all india launch.
This kind of commitment from flipkart towards its customers is highly appreciable.
Flipkart is another word for Geniune products.
Iphone 7 in first looks is a awesome phone with gr8 camera. Altogether a new home button which is more faster than previ...",,,,
I have been using iphone since few days . very much contended from the experience and services provided by flipkart on product delivery. Thanks for giving the seamless experience.,,,,
good delivery speed by Flipkart and my new iPhone is awesome.,,,,
received product..nice packaging and excellent overall experience,,,,
"the battery life of the cellphone delivered is very poor.
charged at 84% in night and in mornin the phone was switched off without any use.
dont know whats the problem",,,,
The black is a Good and different colour!,,,,
"Shift to IPhone 7 from IPhone 6 Plus
3 features that standout are:
1. Loud and Clear Speakers
2. Camera quality is top notch, a tough competition to Galaxy S7
3. Waterproofing
Worthy upgrade from IPhone 6 Plus",,,,
Just awesome,,,,
"The product is as usual best ,and thanks for the best service by flip kart,its always the best keep it up I give thme 10 out of 10 for their genuine products provided ever",,,,
PlZzz take it from Apple store it was not sealed n earphone r replaced n stickers r missing n it is opened n used set ....not acceptable from Flipkart,,,,
"First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.
Now to the iPhone.
Packaging - As always - neat & superior!
The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)
What's evi...",,,,
Voice reception is very feeble. Product packaging does not seem to be original. Seems like meddled and repacked using small small cello tapes at corners and stickers.,,,,
Not even a month has passed since i started using it and its display has gone dead.. Could not expect that flipkart is offering such low quality phones..,,,,
My name is narsiredddy I booked apple iphone 7 32gb I received yesterday 2:30 pm from u r courier executive on Flipkart name box that is apple iphone u r executive said that I paid total 44999 amount and I broght to my home that box I open that box I was utterly shocked there is no mobile come inside the box only they sent iphone 7 box and earphones and charger but no phone inside so I wil go to complaint against on u today in our police station and I wil file petition in consumer court,,,,
"Brought a month ago and Used phone for while , facing battery problem .. Now it is in apple service centre from a week . Prefer buying iPhone from croma or maple.",,,,
Awesome phone.. m in love wid iphone.. really happy.. finally I got this after so long wait because the worst delivery service by flipkart.. worst experience ever,,,,
"When I got this phone, Battery is dead and as I know all phone which is brand new that is come with some of charge battery. So as I think they are providing used display phones.
Seller was ---SuperComNet",,,,
"Writing the review upgrading from an iPhone 6.
The increased speed and camera are great! 3D Touch feels a little incomplete but is convenient nonetheless. While the design is the same as the 6, the black really makes it stand out. Stunning finish on the matte black.
Will update the review upon further usage.",,,,
Dont worry go for it 100% original,,,,
"On Time Delivery Best Part Of Flipkart.
Amazing Deal as always with Flipkart.
Coming to iPhone 7. Really nice feel.
Apple has the best product they know what people want. All the features in one hand. Really a fan of apple.
Flipkart delivered what they promised.",,,,
I buy new iPhone 7 from flipkart. It is really awesome. Thanks,,,,
"What you expect
Its iphone;)",,,,
"Pros:
Sleek and handy, no more chunks of heavy metal
Premium and stylish, Matt black looks royal.
Camera is stunning, you can't believe, it nurtured a hidden photographer in me to such an extent that I bought a dslr now, most of my pics are clicked on it. Camera is comparable to point and shoot standalones.
Battery life is more than sufficient.
iOS is more secure and reliable.
Sound is louder and crisper then 6 th generation
Aluminium 7000 series is more sturdy
Cons:
No 3.5 mm, but ...",,,,
"I got the product on 25th sept. Since then I have been waiting for the order invoice but have not received it even after following up with flipkart customer service executives multiple times. I am so disappointed with their responses. It makes me feel as if I am dealing with some sarkari office which doesnt want to work.
For this bad experience i would never shop again with flipkart.",,,,
