Second Grade watch I received. First time we received not working piece then we resend back to Flipkart second time also they send waste watch it's not working. We repair it in shop and using. Don't buy watches in online,,,,
Just loved it. Build quality is superb,,,,
"Nice product, mine favorite, got it at an amazing low price Rs. 1381/- only, #big_billion_day
Only the delivery was very much delay. And the courier partner didn't deliver the product to my address, the product was received by myself to the courier office.
So I'm giving only 4 🌟",,,,
Osm product,,,,
Watch is good but won't give stylish look. May be good for aged n decent people,,,,
Good,,,,
Comfortable and good watch..,,,,
Good one,,,,
"GOOD PRODUCT... BUT PRICE HIGH......AMAZONE PRICE TODAY (14/03/18) is only 1220.00 ... same product.
flipkart so high rate .this product is also 39% off on amazone.",,,,
Worst product,,,,
good product,,,,
Good product,,,,
Good☺,,,,
"Perfect watch, must say to purchase who's want to purchase in this range .",,,,
Band Size too small to fit in wrist.,,,,
best product...,,,,
Product is good,,,,
Good product,,,,
scratches on chain other wise good plz fix it,,,,
"Its too gd
Aswm watch nd in this price only Flipkart can give thank you.",,,,
Best formal watch fastrack,,,,
Not like the picture,,,,
Delivery boy was good in behaviour and also in respectable profession,,,,
It's too good,,,,
It is very nice watch.,,,,
Value for money.,,,,
Nice product & it's very comfortable. Its look good my wrist..,,,,
Good product,,,,
nothing to say about unmatch quality of this brand ........,,,,
Very nice product,,,,
fabulous..,,,,
Best one.,,,,
Classic look for men's .... superb watch in this price,,,,
Nice watch,,,,
Happy,,,,
Goof,,,,
As expectation I wanted a large dial watch but I got smaller dial watch...,,,,
Nice product,,,,
"Nice
Excellent to fit my hand",,,,
Awesome value for money...,,,,
I feel its a fake one.. Only the dial looks good.. Chain looks cheap and the links are not easy to bend.. And the box in which they kept the watch was very old one.. Very disappointed..,,,,
Damage pes,,,,
value for money,,,,
Good product&dilevry is bettr,,,,
Nice product.. lvly look.. love fastrack.,,,,
Good looking,,,,
Received defect product.i don't know how to return this.,,,,
Jhakkas Watch,,,,
Good,,,,
Nice one,,,,
Good product by flipkart,,,,
"Vary nice watch, it's looks great",,,,
"the dail is bit small, but it is nice :)",,,,
good one,,,,
This watch is fabulous.,,,,
Super,,,,
Nice product,,,,
chain colour is faded.. looking is okay... not very much gd,,,,
Very nice..,,,,
Nice product. Good to go for,,,,
Good product..,,,,
Good,,,,
Product is good,,,,
Super,,,,
It good product for this price.,,,,
Good,,,,
"Nice Product.....
Flipkart is the best online shopping....👌👌",,,,
"Very good product, price is a little bit high.But overally satisfied.",,,,
Awesome product...,,,,
Good,,,,
Simply Superbb,,,,
